workerId,ITEM_ID,ITEM_FUNCTION,ITEM_SUBGROUP,case,class,verb,comment,ANSWER,ANSWER_POSITION,OPTION_0_ITEM,OPTION_1_ITEM,OPTION_0_KEY_CONDITION,OPTION_1_KEY_CONDITION,date_time_begin,date_time_end,rt,trial_index
449,f35,filler,related,,,,BenO_acc,SubjObj,below,"Leon hat gesagt, dass ein Bilanzskandal einen Aktionär geschädigt hat.","Leon hat gesagt, dass einen Aktionär ein Bilanzskandal geschädigt hat.",SubjObj,ObjSubj,17:48:10,17:48:22,11551,10
449,f63,filler,unrelated,,,,def,accept,below,"Anna hat gehört, dass dem Mann ein Bild gezeigt wurde.","Anna hat gehört, dass ein Bild dem Mann gezeigt wurde.",accept,?,17:48:22,17:48:28,6783,11
449,t07,test,,acc,EO,nerven,test,SubjObj,below,"Nele hat berichtet, dass eine Karikatur einen Politiker genervt hat.","Nele hat berichtet, dass einen Politiker eine Karikatur genervt hat.",SubjObj,ObjSubj,17:48:28,17:48:36,7943,12
449,f06,attention,unrelated,,,,article_count,accept,below,"Maurice hat gesagt, dass der Mond aufgegangen ist.","Maurice hat gesagt, dass Mond aufgegangen ist.",accept,*,17:48:36,17:48:41,4770,13
449,f40,filler,related,,,,BenO_dat,SubjObj,below,"Ali hat gesagt, dass ein Grenzwall einem König gedient hat.","Ali hat gesagt, dass einem König ein Grenzwall gedient hat.",SubjObj,ObjSubj,17:48:41,17:48:48,7141,14
449,t01,test,,acc,EO,interessieren,test,ObjSubj,below,"Jonas hat erzählt, dass ein Piratenfilm einen Besucher interessiert hat.","Jonas hat erzählt, dass einen Besucher ein Piratenfilm interessiert hat.",SubjObj,ObjSubj,17:48:48,17:49:01,12840,15
449,f02,attention,related,,,,EO_perf_aux,accept,below,"Eva hat gehört, dass dieser Kommentar einer Mitspielerin zugesetzt hat.","Eva hat gehört, dass dieser Kommentar einer Mitspielerin zugesetzt ist.",accept,*,17:49:01,17:49:11,10329,16
449,t10,test,,dat,EO,behagen,test,ObjSubj,below,"David hat gehört, dass eine Aufgabe einem Kletterer behagt hat.","David hat gehört, dass einem Kletterer eine Aufgabe behagt hat.",SubjObj,ObjSubj,17:49:11,17:49:19,7156,17
449,f44,filler,related,,,,Unacc_dat,ObjSubj,above,"Leon hat berichtet, dass ein Tank einem Nachbarn übergelaufen ist.","Leon hat berichtet, dass einem Nachbarn ein Tank übergelaufen ist.",SubjObj,ObjSubj,17:49:19,17:49:28,9892,18
449,t09,test,,dat,EO,auffallen,test,ObjSubj,above,"Julia hat erzählt, dass eine Entwicklung einem Besucher aufgefallen ist.","Julia hat erzählt, dass einem Besucher eine Entwicklung aufgefallen ist.",SubjObj,ObjSubj,17:49:28,17:49:42,13553,19
449,f43,filler,related,,,,Unacc_dat,ObjSubj,below,"Anna hat gesagt, dass ein Joghurt einem Mitbewohner verschimmelt ist.","Anna hat gesagt, dass einem Mitbewohner ein Joghurt verschimmelt ist.",SubjObj,ObjSubj,17:49:42,17:49:55,13275,20
449,f50,filler,related,,,,BenO_acc,SubjObj,above,"Sarah hat gehört, dass ein Fehler einen Turner begünstigt hat.","Sarah hat gehört, dass einen Turner ein Fehler begünstigt hat.",SubjObj,ObjSubj,17:49:55,17:50:16,20795,21
449,f62,filler,related,,,,BenO_dat,ObjSubj,above,"Sarah hat gehört, dass eine App einem Nutzer assistiert hat.","Sarah hat gehört, dass einem Nutzer eine App assistiert hat.",SubjObj,ObjSubj,17:50:16,17:50:50,33819,22
449,t13,test,,dat,EO,imponieren,test,ObjSubj,above,"Selma hat erzählt, dass ein Angebot einem Kunden imponiert hat.","Selma hat erzählt, dass einem Kunden ein Angebot imponiert hat.",SubjObj,ObjSubj,17:50:50,18:08:33,1062641,23
449,f47,filler,related,,,,refl_ES,accept,above,"Thorsten hat berichtet, dass sich die Kinder für französischen Rap interessieren.","Thorsten hat berichtet, dass die Kinder für französischen Rap sich interessieren.",accept,?,18:08:33,18:08:40,7384,24
449,f55,filler,related,,,,BenO_dat,SubjObj,below,"Nele hat berichtet, dass ein Denkmal einem Staatsmann gegolten hat.","Nele hat berichtet, dass einem Staatsmann ein Denkmal gegolten hat.",SubjObj,ObjSubj,18:08:40,18:08:49,8912,25
449,f56,filler,unrelated,,,,weather_es,accept,below,"Nadja hat gesagt, dass es gestern gehagelt hat.","Nadja hat gesagt, dass gestern gehagelt hat.",accept,*,18:08:49,18:08:55,5755,26
449,t08,test,,acc,EO,verärgern,test,ObjSubj,above,"Anna hat gesagt, dass ein Verfahren einen Richter verärgert hat.","Anna hat gesagt, dass einen Richter ein Verfahren verärgert hat.",SubjObj,ObjSubj,18:08:55,18:09:04,9088,27
449,f59,filler,unrelated,,,,pers_pron,accept_SO,above,"Ali hat erzählt, dass er ihnen ein Eis spendiert hat.","Ali hat erzählt, dass ihnen er ein Eis spendiert hat.",accept_SO,*_OS,18:09:04,18:09:11,7778,28
449,f39,filler,related,,,,BenO_dat,SubjObj,below,"Leon hat berichtet, dass eine Erkenntnis einem Bekannten genützt hat.","Leon hat berichtet, dass einem Bekannten eine Erkenntnis genützt hat.",SubjObj,ObjSubj,18:09:11,18:09:18,6605,29
449,f23,control,unrelated,,,,v2,accept,above,"Kira hat gemeint, dass ein Mitschüler gestern geschlafen hat.","Kira hat gemeint, dass ein Mitschüler hat gestern geschlafen.",accept,*,18:09:18,18:09:26,7413,30
449,f37,filler,related,,,,BenO_dat,SubjObj,above,"Julia hat erzählt, dass ein Medikament einem Patienten geholfen hat.","Julia hat erzählt, dass einem Patienten ein Medikament geholfen hat.",SubjObj,ObjSubj,18:09:26,18:09:31,5664,31
449,f15,control,related,,,,EO_art,accept,above,"Maryam hat gesagt, dass der Mantel die Kollegin begeistert hat.","Maryam hat gesagt, dass der Mantel den Kollegin begeistert hat.",accept,*,18:09:31,18:10:00,28587,32
449,f60,filler,unrelated,,,,pers_pron,accept_SO,above,"Kira hat gehört, dass sie es ihm endlich zugeschickt haben.","Kira hat gehört, dass es sie ihm endlich zugeschickt haben.",accept_SO,*_OS,18:10:00,18:10:21,21092,33
449,f16,control,related,,,,EO_art,accept,below,"Kira hat gehört, dass die Route eine Bergsteigerin frustriert hat.","Kira hat gehört, dass die Route einem Bergsteigerin frustriert hat.",accept,*,18:10:21,18:10:28,7428,34
449,f61,filler,unrelated,,,,pers_pron,accept_SO,below,"Selma hat gesehen, dass er es in den Briefkasten geworfen hat.","Selma hat gesehen, dass es er in den Briefkasten geworfen hat.",accept_SO,*_OS,18:10:28,18:10:36,7790,35
449,f26,control,unrelated,,,,pers_pron,accept,below,"Eva hat erzählt, dass sie ihn gestern getroffen hat.","Eva hat erzählt, dass ihn sie gestern getroffen hat.",accept,*,18:10:36,18:10:43,7062,36
449,f64,filler,unrelated,,,,def,accept,above,"Leon hat erzählt, dass dem Hausmeister eine Torte geschenkt wurde.","Leon hat erzählt, dass eine Torte dem Hausmeister geschenkt wurde.",accept,?,18:10:43,18:10:49,5485,37
449,f14,control,related,,,,EO_cong,*,below,"Marek hat gehört, dass ein Kompliment einen Mitspieler erheitert hat.","Marek hat gehört, dass ein Kompliment einen Mitspieler erheitert haben.",accept,*,18:10:49,18:10:55,6150,38
449,f07,attention,unrelated,,,,article_count,accept,below,"Julia hat angedeutet, dass ihr Chef einen älteren Herrn übers Ohr gehauen hat.","Julia hat angedeutet, dass ihr Chef älteren Herrn übers Ohr gehauen hat.",accept,*,18:10:55,18:11:11,16223,39
449,f22,control,unrelated,,,,v2,accept,below,"Maurice hat behauptet, dass er einem Schauspieler ähnelt.","Maurice hat behauptet, dass er ähnelt einem Schauspieler.",accept,*,18:11:11,18:11:19,7888,40
449,f08,attention,unrelated,,,,weather_es,accept,below,"Marek hat erzählt, dass es in Österreich geschneit hat.","Marek hat erzählt, dass in Österreich geschneit hat.",accept,*,18:11:19,18:11:23,4074,41
449,f11,control,related,,,,EO_prep,accept,below,"Nele hat berichtet, dass sich die Chefin über das Geschenk gefreut hat.","Nele hat berichtet, dass sich die Chefin um das Geschenk gefreut hat.",accept,*,18:11:23,18:11:30,6939,42
449,f52,filler,related,,,,BenO_dat,SubjObj,below,"Julia hat erzählt, dass eine Niederlage einem Politiker angehaftet hat.","Julia hat erzählt, dass einem Politiker eine Niederlage angehaftet hat.",SubjObj,ObjSubj,18:11:30,18:11:44,13776,43
449,t03,test,,acc,EO,ärgern,test,ObjSubj,below,"Leon hat gesagt, dass ein Artikel einen Leser geärgert hat.","Leon hat gesagt, dass einen Leser ein Artikel geärgert hat.",SubjObj,ObjSubj,18:11:44,18:11:51,7634,44
449,f41,filler,related,,,,Unacc_dat,ObjSubj,below,"David hat erzählt, dass ein Pullover einem Freund eingelaufen ist.","David hat erzählt, dass einem Freund ein Pullover eingelaufen ist.",SubjObj,ObjSubj,18:11:51,18:11:58,6623,45
449,t16,test,,dat,EO,widerstreben,test,ObjSubj,below,"Anna hat gesagt, dass ein Ritual einem Priester widerstrebt hat.","Anna hat gesagt, dass einem Priester ein Ritual widerstrebt hat.",SubjObj,ObjSubj,18:11:58,18:12:04,6271,46
449,f09,attention,unrelated,,,,weather_es,accept,above,"Anna hat gehört, dass es in der Atacama-Wüste geregnet hat.","Anna hat gehört, dass in der Atacama-Wüste geregnet hat.",accept,*,18:12:04,18:12:11,7247,47
449,f24,control,unrelated,,,,pers_pron,accept,above,"Sarah hat erzählt, dass er ihr ein Handtuch gegeben hat.","Sarah hat erzählt, dass ihr er ein Handtuch gegeben hat.",accept,*,18:12:11,18:12:21,9145,48
449,f42,filler,related,,,,Unacc_dat,ObjSubj,below,"Sarah hat gehört, dass eine Zutat einem Bäcker ausgegangen ist.","Sarah hat gehört, dass einem Bäcker eine Zutat ausgegangen ist.",SubjObj,ObjSubj,18:12:21,18:12:26,5674,49
449,f25,control,unrelated,,,,pers_pron,accept,below,"Simon hat gehört, dass sie ihm etwas zugerufen hat.","Simon hat gehört, dass ihm sie etwas zugerufen hat.",accept,*,18:12:26,18:12:32,5665,50
449,f05,attention,related,,,,EO_perf_aux,accept,above,"Nora hat mitbekommen, dass der Fleck einen Bekannten gestört hat.","Nora hat mitbekommen, dass der Fleck einen Bekannten gestört ist.",accept,*,18:12:32,18:12:41,9043,51
449,f18,control,related,,,,EO_art,accept,above,"Ali hat berichtet, dass diese Enthüllung einen Journalisten schockiert hat.","Ali hat berichtet, dass diese Enthüllung einer Journalisten schockiert hat.",accept,*,18:12:41,18:12:46,5231,52
449,f57,filler,unrelated,,,,pers_pron,accept_SO,above,"David hat erzählt, dass er es gehört hat.","David hat erzählt, dass es er gehört hat.",accept_SO,*_OS,18:12:46,18:12:57,11182,53
449,t02,test,,acc,EO,anwidern,test,SubjObj,below,"David hat gehört, dass ein Spektakel einen Anwalt angewidert hat.","David hat gehört, dass einen Anwalt ein Spektakel angewidert hat.",SubjObj,ObjSubj,18:12:57,18:13:04,7070,54
449,f04,attention,related,,,,EO_perf_aux,accept,above,"Tina hat erzählt, dass eine Beleidigung einem Künstler leidgetan hat.","Tina hat erzählt, dass eine Beleidigung einem Künstler leidgetan ist.",accept,*,18:13:04,18:13:14,9778,55
449,t15,test,,dat,EO,nahegehen,test,SubjObj,above,"Nele hat berichtet, dass ein Missgeschick einem Kollegen nahegegangen ist.","Nele hat berichtet, dass einem Kollegen ein Missgeschick nahegegangen ist.",SubjObj,ObjSubj,18:13:14,18:13:30,15802,56
449,f65,filler,unrelated,,,,def,accept,above,"Julia hat gesagt, dass dem Kind ein Spielzeug gegeben wurde.","Julia hat gesagt, dass ein Spielzeug dem Kind gegeben wurde.",accept,?,18:13:30,18:13:39,9280,57
449,f13,control,related,,,,EO_cong,accept,below,"Ali hat mitbekommen, dass die Behandlung den Patienten aufgewühlt hat.","Ali hat mitbekommen, dass die Behandlung den Patienten aufgewühlt haben.",accept,*,18:13:39,18:13:53,13211,58
449,f38,filler,related,,,,BenO_dat,ObjSubj,below,"David hat gehört, dass eine Affäre einem Politiker geschadet hat.","David hat gehört, dass einem Politiker eine Affäre geschadet hat.",SubjObj,ObjSubj,18:13:53,18:13:59,6724,59
449,t11,test,,dat,EO,einleuchten,test,SubjObj,below,"Leon hat berichtet, dass ein Vorgehen einem Nachbarn eingeleuchtet hat.","Leon hat berichtet, dass einem Nachbarn ein Vorgehen eingeleuchtet hat.",SubjObj,ObjSubj,18:13:59,18:14:06,6931,60
449,f33,filler,related,,,,BenO_acc,SubjObj,below,"Jonas hat erzählt, dass ein Zwischenfall einen Beamten beeinträchtigt hat.","Jonas hat erzählt, dass einen Beamten ein Zwischenfall beeinträchtigt hat.",SubjObj,ObjSubj,18:14:06,18:14:12,5837,61
449,t14,test,,dat,EO,missfallen,test,SubjObj,above,"Sarah hat gehört, dass eine Aussage einem General missfallen hat.","Sarah hat gehört, dass einem General eine Aussage missfallen hat.",SubjObj,ObjSubj,18:14:12,18:14:21,8553,62
449,f53,filler,related,,,,BenO_acc,SubjObj,above,"Nele hat berichtet, dass ein Zufall einen Mann gerettet hat.","Nele hat berichtet, dass einen Mann ein Zufall gerettet hat.",SubjObj,ObjSubj,18:14:21,18:14:27,6432,63
449,f19,control,unrelated,,,,article_count,accept,above,"Nora hat gehört, dass sich ihr Chef in eine Beraterin verliebt hat.","Nora hat gehört, dass sich ihr Chef in Beraterin verliebt hat.",accept,*,18:14:27,18:14:36,8826,64
449,f51,filler,related,,,,BenO_dat,ObjSubj,below,"Selma hat erzählt, dass eine Haftstrafe einem Erpresser gedroht hat.","Selma hat erzählt, dass einem Erpresser eine Haftstrafe gedroht hat.",SubjObj,ObjSubj,18:14:36,18:14:43,7303,65
449,t04,test,,acc,EO,verblüffen,test,ObjSubj,below,"Marek hat berichtet, dass ein Resultat einen Forscher verblüfft hat.","Marek hat berichtet, dass einen Forscher ein Resultat verblüfft hat.",SubjObj,ObjSubj,18:14:43,18:15:10,26540,66
449,f03,attention,related,,,,EO_perf_aux,accept,above,"Ali hat mitbekommen, dass die Verletzung einen Mitspieler schockiert hat.","Ali hat mitbekommen, dass die Verletzung einen Mitspieler schockiert ist.",accept,*,18:15:10,18:15:20,9998,67
449,t05,test,,acc,EO,bezaubern,test,SubjObj,above,"Eva hat erzählt, dass ein Holzspielzeug einen Jungen bezaubert hat.","Eva hat erzählt, dass einen Jungen ein Holzspielzeug bezaubert hat.",SubjObj,ObjSubj,18:15:20,18:15:27,7268,68
449,f45,filler,related,,,,refl_ES,accept,below,"Nadja hat gehört, dass sich ihre Mutter über das Geschenk gefreut hat.","Nadja hat gehört, dass ihre Mutter über das Geschenk sich gefreut hat.",accept,?,18:15:27,18:15:33,6162,69
449,f21,control,unrelated,,,,v2,accept,above,"Maryam hat erzählt, dass sie einem Bedürftigen Geld zukommen lässt.","Maryam hat erzählt, dass sie lässt einem Bedürftigen Geld zukommen.",accept,*,18:15:33,18:15:41,7942,70
449,f46,filler,related,,,,refl_ES,accept,above,"Anna hat erzählt, dass sich eine Geschäftspartnerin über die hiesigen Gepflogenheiten gewundert hat.","Anna hat erzählt, dass eine Geschäftspartnerin über die hiesigen Gepflogenheiten sich gewundert hat.",accept,?,18:15:41,18:16:05,23837,71
449,t12,test,,dat,EO,gefallen,test,ObjSubj,below,"Ali hat gesagt, dass ein Selbstporträt einem Maler gefallen hat.","Ali hat gesagt, dass einem Maler ein Selbstporträt gefallen hat.",SubjObj,ObjSubj,18:16:05,18:16:12,6879,72
449,f48,filler,related,,,,refl_ES,accept,above,"David hat mitbekommen, dass sich der Betreuer wieder erschreckt hat.","David hat mitbekommen, dass der Betreuer wieder sich erschreckt hat.",accept,?,18:16:12,18:16:22,9742,73
449,f17,control,related,,,,EO_art,accept,below,"Leon hat erzählt, dass das bekannte Problem den Kanzlerkandidaten bedrückt hat.","Leon hat erzählt, dass die bekannte Problem den Kanzlerkandidaten bedrückt hat.",accept,*,18:16:22,18:16:36,14475,74
449,f49,filler,related,,,,BenO_acc,SubjObj,below,"Eva hat erzählt, dass ein Warnstreik einen Bürger eingeschränkt hat.","Eva hat erzählt, dass einen Bürger ein Warnstreik eingeschränkt hat.",SubjObj,ObjSubj,18:16:36,18:16:44,8385,75
449,t06,test,,acc,EO,ängstigen,test,ObjSubj,below,"Sarah hat gehört, dass eine Livesendung einen Zuschauer geängstigt hat.","Sarah hat gehört, dass einen Zuschauer eine Livesendung geängstigt hat.",SubjObj,ObjSubj,18:16:44,18:16:55,10592,76
449,f01,attention,related,,,,EO_perf_aux,accept,above,"Sarah hat erzählt, dass das Kompliment einem Studenten geschmeichelt hat.","Sarah hat erzählt, dass das Kompliment einem Studenten geschmeichelt ist.",accept,*,18:16:55,18:17:00,5461,77
449,f20,control,unrelated,,,,article_count,accept,below,"Marek hat mitbekommen, dass sich eine Kollegin abfällig über eine Verwandte geäußert hat.","Marek hat mitbekommen, dass sich Kollegin abfällig über eine Verwandte geäußert hat.",accept,*,18:17:00,18:17:11,10525,78
449,f10,attention,unrelated,,,,weather_es,accept,above,"Maurice hat gesagt, dass es in Paderborn gestern gestürmt hat.","Maurice hat gesagt, dass in Paderborn gestern gestürmt hat.",accept,*,18:17:11,18:17:17,6136,79
449,f12,control,related,,,,EO_prep,accept,below,"David hat erzählt, dass sich der Trainer über sein Missgeschick amüsiert hat.","David hat erzählt, dass sich der Trainer um sein Missgeschick amüsiert hat.",accept,*,18:17:17,18:17:27,10135,80
449,f34,filler,related,,,,BenO_acc,SubjObj,below,"David hat gehört, dass ein Bremsassistent einen Autofahrer unterstützt hat.","David hat gehört, dass einen Autofahrer ein Bremsassistent unterstützt hat.",SubjObj,ObjSubj,18:17:27,18:17:39,12175,81
447,f27,calibration,related,,,,EO_perf_aux,accept,above,"Marek hat berichtet, dass der Film einen Kritiker gelangweilt hat.","Marek hat berichtet, dass der Film einen Kritiker gelangweilt ist.",accept,*,17:31:21,17:31:41,20102,0
447,f31,calibration,unrelated,,,,def,accept,below,"Sarah hat gehört, dass dem Nachbarn ein Paket gegeben wurde.","Sarah hat gehört, dass ein Paket dem Nachbarn gegeben wurde.",accept,?,17:31:41,17:31:50,9394,1
447,f28,calibration,related,,,,EO_perf_aux,accept,below,"Leon hat erwähnt, dass seiner Mutter die Entlassung zugesetzt hat.","Leon hat erwähnt, dass seiner Mutter die Entlassung zugesetzt ist.",accept,*,17:31:50,17:32:02,11460,2
447,f32,calibration,unrelated,,,,v2,accept,above,"Jonas hat mitbekommen, dass gestern ein Lehrer verprügelt wurde.","Jonas hat mitbekommen, dass gestern wurde ein Lehrer verprügelt.",accept,*,17:32:02,17:32:09,6807,3
447,f30,calibration,related,,,,def,accept,above,"Kira hat gesagt, dass den Stadtwerken ein hoher Betrag überwiesen wurde.","Kira hat gesagt, dass ein hoher Betrag den Stadtwerken überwiesen wurde.",accept,?,17:32:09,17:32:23,14784,4
447,f29,calibration,related,,,,refl_ES,accept,below,"Julia hat erzählt, dass sich ihr Bruder für sein Verhalten geschämt hat.","Julia hat erzählt, dass ihr Bruder für sein Verhalten sich geschämt hat.",accept,?,17:32:23,17:32:30,6140,5
447,f49,filler,related,,,,BenO_acc,SubjObj,above,"Eva hat erzählt, dass ein Warnstreik einen Bürger eingeschränkt hat.","Eva hat erzählt, dass einen Bürger ein Warnstreik eingeschränkt hat.",SubjObj,ObjSubj,17:32:30,17:32:39,9768,6
447,f02,attention,related,,,,EO_perf_aux,accept,above,"Eva hat gehört, dass dieser Kommentar einer Mitspielerin zugesetzt hat.","Eva hat gehört, dass dieser Kommentar einer Mitspielerin zugesetzt ist.",accept,*,17:32:39,17:32:49,9581,7
447,f07,attention,unrelated,,,,article_count,accept,above,"Julia hat angedeutet, dass ihr Chef einen älteren Herrn übers Ohr gehauen hat.","Julia hat angedeutet, dass ihr Chef älteren Herrn übers Ohr gehauen hat.",accept,*,17:32:49,17:32:59,10123,8
447,f58,filler,unrelated,,,,pers_pron,accept_SO,below,"Jonas hat erzählt, dass er es vorbereitet hat.","Jonas hat erzählt, dass es er vorbereitet hat.",accept_SO,*_OS,17:32:59,17:33:07,7796,9
447,t13,test,,dat,EO,imponieren,test,SubjObj,above,"Selma hat erzählt, dass ein Angebot einem Kunden imponiert hat.","Selma hat erzählt, dass einem Kunden ein Angebot imponiert hat.",SubjObj,ObjSubj,17:33:07,17:33:16,9391,10
447,f64,filler,unrelated,,,,def,accept,above,"Leon hat erzählt, dass dem Hausmeister eine Torte geschenkt wurde.","Leon hat erzählt, dass eine Torte dem Hausmeister geschenkt wurde.",accept,?,17:33:16,17:33:25,9129,11
447,f48,filler,related,,,,refl_ES,accept,below,"David hat mitbekommen, dass sich der Betreuer wieder erschreckt hat.","David hat mitbekommen, dass der Betreuer wieder sich erschreckt hat.",accept,?,17:33:25,17:33:34,8592,12
447,t06,test,,acc,EO,ängstigen,test,SubjObj,below,"Sarah hat gehört, dass eine Livesendung einen Zuschauer geängstigt hat.","Sarah hat gehört, dass einen Zuschauer eine Livesendung geängstigt hat.",SubjObj,ObjSubj,17:33:34,17:33:41,7288,13
447,f50,filler,related,,,,BenO_acc,ObjSubj,above,"Sarah hat gehört, dass ein Fehler einen Turner begünstigt hat.","Sarah hat gehört, dass einen Turner ein Fehler begünstigt hat.",SubjObj,ObjSubj,17:33:41,17:33:53,12026,14
447,f41,filler,related,,,,Unacc_dat,SubjObj,below,"David hat erzählt, dass ein Pullover einem Freund eingelaufen ist.","David hat erzählt, dass einem Freund ein Pullover eingelaufen ist.",SubjObj,ObjSubj,17:33:53,17:34:03,9702,15
447,f65,filler,unrelated,,,,def,accept,above,"Julia hat gesagt, dass dem Kind ein Spielzeug gegeben wurde.","Julia hat gesagt, dass ein Spielzeug dem Kind gegeben wurde.",accept,?,17:34:03,17:34:15,12000,16
447,f52,filler,related,,,,BenO_dat,ObjSubj,below,"Julia hat erzählt, dass eine Niederlage einem Politiker angehaftet hat.","Julia hat erzählt, dass einem Politiker eine Niederlage angehaftet hat.",SubjObj,ObjSubj,17:34:15,17:34:26,10687,17
447,f44,filler,related,,,,Unacc_dat,ObjSubj,above,"Leon hat berichtet, dass ein Tank einem Nachbarn übergelaufen ist.","Leon hat berichtet, dass einem Nachbarn ein Tank übergelaufen ist.",SubjObj,ObjSubj,17:34:26,17:34:35,8981,18
447,t04,test,,acc,EO,verblüffen,test,SubjObj,above,"Marek hat berichtet, dass ein Resultat einen Forscher verblüfft hat.","Marek hat berichtet, dass einen Forscher ein Resultat verblüfft hat.",SubjObj,ObjSubj,17:34:35,17:34:45,10566,19
447,f54,filler,related,,,,BenO_acc,SubjObj,above,"Anna hat gesagt, dass ein Sicherheitsgurt einen Autofahrer geschützt hat.","Anna hat gesagt, dass einen Autofahrer ein Sicherheitsgurt geschützt hat.",SubjObj,ObjSubj,17:34:45,17:34:52,6900,20
447,f57,filler,unrelated,,,,pers_pron,accept_SO,above,"David hat erzählt, dass er es gehört hat.","David hat erzählt, dass es er gehört hat.",accept_SO,*_OS,17:34:52,17:34:58,5618,21
447,f38,filler,related,,,,BenO_dat,SubjObj,above,"David hat gehört, dass eine Affäre einem Politiker geschadet hat.","David hat gehört, dass einem Politiker eine Affäre geschadet hat.",SubjObj,ObjSubj,17:34:58,17:35:05,7222,22
447,t09,test,,dat,EO,auffallen,test,ObjSubj,below,"Julia hat erzählt, dass eine Entwicklung einem Besucher aufgefallen ist.","Julia hat erzählt, dass einem Besucher eine Entwicklung aufgefallen ist.",SubjObj,ObjSubj,17:35:05,17:35:13,8468,23
447,f43,filler,related,,,,Unacc_dat,ObjSubj,above,"Anna hat gesagt, dass ein Joghurt einem Mitbewohner verschimmelt ist.","Anna hat gesagt, dass einem Mitbewohner ein Joghurt verschimmelt ist.",SubjObj,ObjSubj,17:35:13,17:35:23,9551,24
447,t03,test,,acc,EO,ärgern,test,SubjObj,above,"Leon hat gesagt, dass ein Artikel einen Leser geärgert hat.","Leon hat gesagt, dass einen Leser ein Artikel geärgert hat.",SubjObj,ObjSubj,17:35:23,17:35:46,23443,25
447,f66,filler,unrelated,,,,Action_perf_aux,accept,above,"Nele hat gesagt, dass ihre Tochter das Loch gebohrt hat.","Nele hat gesagt, dass ihre Tochter das Loch gebohrt ist.",accept,*,17:35:46,17:35:55,8546,26
447,t07,test,,acc,EO,nerven,test,SubjObj,below,"Nele hat berichtet, dass eine Karikatur einen Politiker genervt hat.","Nele hat berichtet, dass einen Politiker eine Karikatur genervt hat.",SubjObj,ObjSubj,17:35:55,17:36:03,8303,27
447,f35,filler,related,,,,BenO_acc,SubjObj,below,"Leon hat gesagt, dass ein Bilanzskandal einen Aktionär geschädigt hat.","Leon hat gesagt, dass einen Aktionär ein Bilanzskandal geschädigt hat.",SubjObj,ObjSubj,17:36:03,17:36:11,7943,28
447,f15,control,related,,,,EO_art,accept,below,"Maryam hat gesagt, dass der Mantel die Kollegin begeistert hat.","Maryam hat gesagt, dass der Mantel den Kollegin begeistert hat.",accept,*,17:36:11,17:36:25,13663,29
